Zmienna	Kategoria
OBS	
CAB	Current + capital account balance, PLN      
CAB_IN	Income balance, PLN         
CAB_KA	Capital account balance, PLN        
CAB_TR	Transfers balance, PLN         
CIT	Przychód z podatku CIT        
DIV	Change in Stocks, Nominal in PLN      
DIVR	Change in Stocks, Volume        
EXC	Akcyza ogó³em          
EXC_AL	Akcyza alkohol etylowy         
EXC_B	Akcyza piwo          
EXC_C	Akcyza samochody          
EXC_E	Akcyza ogó³em          
EXC_EM	Akcyza op³ata emisyjna
EXC_F	Akcyza paliwo          
EXC_FF	Akcyza op³ata paliwowa         
EXC_L	akcyza LPG          
EXC_T	Akcyza tytoñ          
FDD	Final Demand          
FERX	Kwartalny fundusz emerytur i rent (mln PLN)     
FK_ER	Fundusz emerytur z KRUSu
FW0	Compensation of Employees, Value
FW	Kwartalny fundusz wynagrodzeñ         
FWG	Fundusz wynagrodzeñ w sktorze instytucji rz¹dowych i samorz¹dowych    
FWX	Kwartalny fundusz wynagrodzeñ w GN       
FWX_NSA	Kwartalny fundusz wynagrodzeñ w GN (sezonowoœæ)      
FX_NSA	kwartalny fundusz wynagrodzeñ w GN oraz emerytur i rent (sezonowoœæ)  
FZ	£¹czny fundusz rent i emerytur z ZUSu     
FZ_E	£¹czny fundusz rent i emerytur z ZUSu     
FZ_F	Fundusz rent rodzinnych z ZUSu       
FZ_O	Pozosta³y fundusz rent i emerytur z ZUSu     
FZ_R	Fundusz rent pracowniczych z ZUSu       
GB	Budget balance, PLN         
GC	General Government Final Consumption Expenditure, Nominal in PLN    
GCR	General Government Final Consumption Expenditure, Volume      
GE	£¹czne wydatki sektora instytucji rz¹dowych i samorz¹dowych     
GEA	Akumulacja brutto          
GEAMT	Stawka amortyzacji          
GEFW	Wynagrodzenie pracowników          
GEFWC	Sk³adki na ubezpieczenia spo³eczne pracodawców       
GEFWP	Fundusz wynagrodzeñ oraz innych dochodów zwi¹zanych z prac¹ najemn¹   
GEIC	Zu¿ycie poœrednie instytucji rz¹dowych,samorz¹dowych i niekomercyjnych      
GEIT	Inwestycje instytucji rz¹dowych,samorz¹dowych i niekomercyjnych       
GEITR	Gross Fixed Capital Formation, Real (government sector)     
GEIV	Change in Stocks, Nominal in PLN (government sector)    
GEOTH	Inne podatki od produkcji + Bie¿¹ce podatki od dochodów, maj¹tku  
GESA	Œwiadczenia z tytu³u pomocy spo³ecznej       
GESB	Opieka socjalna          
GESTK	Transfery socjalne w naturze        
GETRC	Inne transfery bie¿¹ce         
GETRK	Transfery kapita³owe          
GEWH	Koszty obs³ugi d³ugu         
GEWH_DOM	Koszty obs³ugi d³ugu krajowego        
GEWH_ROW	Koszty obs³ugi d³ugu zagranicznego        
GR	Przychód sektora rz¹dowego i samorz¹dowego       
GRBNK	Podatek Bankowy          
GRFAC	Podatek od nieruchomoœci od przedsiêbiorców       
GRSC	Sk³adki na ubezpieczenia spo³eczne        
GRSC_FEP	sk³adka na fundusz emerytur pomostowych       
GRSC_FGSP	Fundusz Gwarantowanych Œwiadczeñ Pracowniczych        
GRSC_FP	Sk³adka na fundusz pracy ogó³em       
GRSC_FP_SE	Sk³adka na fundusz pracy samozatrudnieni       
GRSC_FP_W	Sk³adka na fundusz pracy pracuj¹cy       
GRSC_FPFS_SE	Sk³adka na fundusz pracy i fundusz solidarnoœciowy samozatrudnieni    
GRSC_FPFS_W	Sk³adka na fundusz pracy i fundusz solidarnoœciowy zatrudnieni    
GRSC_FRD	sk³adka na fundusz rezerwy demograficznej ogó³em      
GRSC_FRD_O	sk³adka na fundusz rezerwy demograficznej inni      
GRSC_FRD_SE	sk³adka na fundusz rezerwy demograficznej samozatrudnieni      
GRSC_FRD_W	sk³adka na fundusz rezerwy demograficznej zatrudnieni      
GRSC_FS	sk³adka na fundusz solidarnoœciowy ogó³em       
GRSC_FS_SE	sk³adka na fundusz solidarnoœciowy samozatrudnieni       
GRSC_FS_W	sk³adka na fundusz solidarnoœciowy zatrudnieni       
GRSC_FUS	sk³adki: emerytalna, rentowa, wypadkowa, chorobowa       
GRSC_FUS_SE	sk³adki - samozatrudnieni         
GRSC_FUS_W	sk³adki - pracuj¹cy         
GRSC_NFZ	sk³adka zdrowotna ogó³em         
GRSC_NFZ_P	sk³adka zdrowotna emeryci i renciœci       
GRSC_NFZ_SE	sk³adka zdrowotna samozatrudnieni         
GRSC_NFZ_W	sk³adka zdrowotna zatrudnieni         
GRSC_OFE	Sk³adki emerytalne przekazywane do OFE OGÓ£EM      
GRSC_OFE_SE	Sk³adki emerytalne przekazywane do OFE przez samozatrudnionych     
GRSC_OFE_W	Sk³adki emerytalne przekazywane do OFE przez zatrudnionych     
GRSLS	Produkcja globalna rynkowa i na w³asne cele finalne    
GRTRK	Transfery kapita³owe otrzymane skonsolidowane        
GRTRO	Inne transfery bie¿¹ce otrzymane skonsolidowane       
GRTXP	Podatki na produkty i import, GG (zap³acone)     
GRTXPO	Podatki na produkty i import (otrzymane)      
GRTXPP	Podatki na produkty, GG (zap³acone)       
GRTXW	Podatki od dochodów, maj¹tku itd.       
GRTXWO	Podatki od nieruchomoœci od osób fizycznych      
GRWH	Dochody z tytu³u w³asnoœci od osób prawnych     
GS0	Gross Operating Surplus, Value
GS	Gross Operating Surplus         
GSR	Gross Operating Surplus, Value (CPI)       
HDI	Dochody do dyspozycji GD        
HDIR	Household disposable income, volume        
HESCE	Sk³adki na ubezpieczenia spo³eczne p³acone przez GD     
HETX	Podatki p³acone przez GD        
HRCE	Wynagrodzenia za pracê GD        
HRGS	Nadwy¿ka operacyjna brutto GD        
HROTH	Pozosta³e dochody GD         
HRSA	Œwiadczenia z tytu³u pomocy spo³ecznej GD      
HRSB	Opieka socjalna GD         
HRSBA	Œwiadczenia spo³eczne ogó³em otrzymywane przez GD      
HRWH	Dochody z w³asnoœci GD        
IT	Gross Fixed Capital Formation, Nominal in PLN     
ITR	Gross Fixed Capital Formation, Real       
IV	Stocks, Nominal in PLN        
IVR	Stocks, Volume          
LNE	Employees, K. pers.         
LNT	Trend Employment, K pers.        
LSL	Equilibrium labor demand, K. pers       
MEIC	Zu¿ycie poœrednie pozosta³ych sektorów        
MEIT	Inwestycje instytucji pozosta³ych sektorów        
MEITR	Gross Fixed Capital Formation, Real (market sector)     
MI0	Mixed Income, Value
MT	Imports of Goods and Services, Nominal in PLN    
MTR	Imports of Goods and Services, Volume      
NFA	Net foreign assets, PLN        
NFN	Net income from abroad, PLN       
PC	Private consumption          
PCR	Individual Consumption, Volume         
PENF0	Opodatkowane œwiadczenia emerytalno-rentowe ogó³em        
PIT	Podatek dochodowy od osób fizycznych ogó³em      
PIT_O	Podatek dochodowy inni         
PIT_P	Podatek dochodowy emeryci i renciœci       
PIT_SE	Podatek dochodowy samozatrudnieni         
PIT_W	Podatek dochodowy zatrudnieni         
PK_ER	Œrednia emerytura i renta z KRUS
PZ_E	Œrednia emerytura z tytu³u pracy z ZUSu
PZ_F	Œrednia renta rodzinna         
PZ_R	Œrednia renta z tyu³u pracy z ZUSu     
QEXC_AL	Alkohol etylowy wolumen z deklaracji       
QEXC_B	Piwo wolumen z deklaracji        
QEXC_C0	Samochody nowe wolumen z deklaracji       
QEXC_C1	Samochody u¿ywane wolumen z deklaracji       
QEXC_E	Energia elektryczna wolumen z deklaracji       
QEXC_FBS	Benzyny silnikowe wolumen z deklaracji       
QEXC_FON	Olej napedowy wolumen z deklaracji       
QEXC_L	LPG wolumen z deklaracji        
QEXC_T	Tytoñ wolumen z deklaracji        
TB	Trade and services balance, PLN       
TBR	Trdae Balance, Volume         
TXIMP	Customs Duties, Value         
TXP	Taxes on Production and Imports Less Subsidies, Value    
VAT	Dochody z VATu (w cenach bie¿¹cych)      
VGEIC	Vat nale¿ny od ICGP        
VGEIT	Vat nale¿ny od JGP        
VMEIC	Vat nale¿ny od ICMP        
VMEIT	Vat nale¿ny od JMP        
VPC	Vat nale¿ny od CP        
VTTL_COV	Œrednia pó³roczna VATu teoretycznego        
XT	Exports of Goods and Services, Nominal in PLN    
XTR	Exports of Goods and Services, Volume      
YE	GDP, Nominal in PLN        
YER	GDP, Volume          
YER_DIS	Real GDP, Statistical Discrapency        
YET	Potential Output          
